[min90] hizli tarama basladi
[min90/min90_sentetik_2700_per_class_pima/all_features/logistic_regression] min=0.9729 acc=0.9747 auc=0.9979
[min90/min90_sentetik_2700_per_class_pima/all_features/gaussian_nb] min=0.9747 acc=0.9765 auc=0.9965
[min90/min90_sentetik_2700_per_class_pima/all_features/knn] min=0.9638 acc=0.9756 auc=0.9905
[min90/min90_sentetik_2700_per_class_pima/all_features/svm_rbf] min=0.9675 acc=0.9738 auc=0.9984
[min90/min90_sentetik_2700_per_class_pima/all_features/random_forest] min=0.9675 acc=0.9765 auc=0.9979
[min90/min90_sentetik_2700_per_class_pima/all_features/extra_trees] min=0.9656 acc=0.9756 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/all_features/gradient_boosting] min=0.9693 acc=0.9720 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/all_features/hist_gradient_boosting] min=0.9747 acc=0.9783 auc=0.9975
[min90/min90_sentetik_2700_per_class_pima/all_features/adaboost] min=0.9747 acc=0.9756 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/all_features/mlp] min=0.9675 acc=0.9747 auc=0.9951
[min90/min90_sentetik_2700_per_class_pima/all_features/xgboost] min=0.9729 acc=0.9738 auc=0.9972
[min90/min90_sentetik_2700_per_class_pima/all_features/lightgbm] min=0.9765 acc=0.9765 auc=0.9972
[min90/min90_sentetik_2700_per_class_pima/all_features/soft_voting_rf_et_hgb] min=0.9729 acc=0.9756 auc=0.9980
[min90/min90_sentetik_2700_per_class_pima/all_features/soft_voting_xgb_lgbm_et] min=0.9675 acc=0.9747 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/logistic_regression] min=0.9711 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/gaussian_nb] min=0.9656 acc=0.9711 auc=0.9964
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/knn] min=0.9638 acc=0.9747 auc=0.9922
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/svm_rbf] min=0.9656 acc=0.9738 auc=0.9984
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/random_forest] min=0.9693 acc=0.9774 auc=0.9980
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/extra_trees] min=0.9729 acc=0.9765 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/gradient_boosting] min=0.9675 acc=0.9729 auc=0.9963
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/hist_gradient_boosting] min=0.9729 acc=0.9729 auc=0.9971
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/adaboost] min=0.9711 acc=0.9711 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/mlp] min=0.9566 acc=0.9702 auc=0.9947
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/xgboost] min=0.9711 acc=0.9747 auc=0.9972
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/lightgbm] min=0.9729 acc=0.9747 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/soft_voting_rf_et_hgb] min=0.9729 acc=0.9765 auc=0.9980
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness/soft_voting_xgb_lgbm_et] min=0.9729 acc=0.9756 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/no_insulin/logistic_regression] min=0.9711 acc=0.9765 auc=0.9980
[min90/min90_sentetik_2700_per_class_pima/no_insulin/gaussian_nb] min=0.9711 acc=0.9729 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_insulin/knn] min=0.9693 acc=0.9747 auc=0.9912
